id_hog,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores_0_4,n_menores_5_14,n_nna,n_menores_18,n_personas_15_65,n_mayores,n_tiempo,n_trabajadores,n_profesionales,n_tercera_edad,hay_tercera_edad,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_anios,tramo_edad,NSE,nivel_escolaridad,estudia,trabaja,horas_trabajo_contratadas,horas_trabajo_habituales,dias_trabajo_semana,quintil,macrozona,region_ord,glosa_region,prop_ing_hogar,teletrabaja,jornada_laboral,cae,ocup_form,cise,ciuo_agrupada,bs1,bs2,bs3,bs4,bs5,bs6,bs7,bs8,bs9,bs10,bs11,bs12,bs13,bs14,bs15,bs16,bs17,bs18,bs19,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_t_hogar,ing_t_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,I,t_to,t_tcnr_ce,t_tcnr_re,t_tcnr_oac,t_tdnr_psc,t_tdnr_lv,t_tdnr_lrc,t_tdnr_mrm,t_tdnr_admnhog,t_tdnr_comphog,t_tdnr_cmp,t_tvaoh_tv,t_tvaoh_oh,t_cpaf_cp,t_cpag_comer,t_cpag_dormir,t_ed,t_vsyo_csar,t_vsyo_aa,t_mcm_leer,t_mcm_video,t_mcm_audio,t_mcm_computador,t_tt1,t_tt2,t_tcnr_0_4,t_tcnr_5_14,t_tcnr_nna,t_tcnr_15_65,t_tcnr_66,t_tcnr_psdf,t_total,w,savings,alimentos,vestimenta,cuentas,hogar,salud,transporte,comunicaciones,recreacion,educacion,restaurantes,total_expenses
11081-1,11081-1-01,1,1,4,7,1,0,3,3,3,2,2,1,2,2,0,0,5,21.6,1,1,1,0,0,0,0,40,25-44,2,técnica,0,1,15,5,3,3,sur,14,Los Lagos,0.42857142857142855,0,1,Ocupada(o),1,2,1,4,5,4,2,NA,1,1,2,1,2,2,NA,NA,NA,NA,NA,3,3,1,150,150,0,0,350,70,0,150,350,70,0,15,1.36,0.39,0,3.84,2.76,0.18,2.39,0.01,0.33,1.55,19.82,0,3.03,10.46,66.13000000000001,0,13.21,0.02,3.84,10.18,0.28,7.77,0.05,5.4,0.12,6.9,7.02,0,0,0.5,168,10,-27.191641558104063,28.79,5.8,43.73,14.71,8.14,24.87,22.15,11.14,9.68,8.18,177.19164155810407
11083-1,11083-1-01,0,0,3,7,1,0,0,0,0,1,1,1,0,1,0,0,1,57,0,0,0,0,0,0,1,57,45-65,2,técnica,0,0,0,0,0,1,centro,9,Maule,0,0,NA,Desocupada(o),NA,NA,NA,4,NA,NA,NA,NA,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,23.78,0.55,0,0.01,0.19,10.98,0,0.02,5.12,13.56,47.98000000000001,0,3.28,0,0,47.18,0,2.6,0,0.19,0,0,0,0,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
11085-1,11085-1-01,0,0,1,6,1,0,0,0,0,0,1,1,0,0,1,0,1,74,0,0,0,0,0,0,1,74,66+,2,ninguna,0,0,0,0,0,1,metropolitana,7,Región Metropolitana de Santiago,1,0,NA,Inactiva(o),NA,NA,NA,4,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,57.5,115,57.5,57.5,115,172.5,172.5,172.5,690000,0,0,0,0,14.49,9.47,1.12,0,0,0.06,0.59,0,0,3.04,5.5,76.60000000000001,0,30.78,0,0,2.41,23.6,0.23,0,0.11,0,0,0,0,0,0,168,NA,50.86223873529959,43.8,2.48,32.09,7.58,12.82,6.65,8.7,3.89,0.18,3.45,121.6377612647004
11086-1,11086-1-02,0,0,1,6,9,0,0,0,0,2,2,2,1,2,0,0,2,23,0,0,0,0,0,0,0,24,12-24,2,técnica,0,0,0,0,0,1,centro,9,Maule,0,0,NA,Desocupada(o),NA,NA,NA,2,2,NA,NA,NA,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,106,53,0,0,0,0,0,7.29,2.61,1.54,0,0.18,1.24,0.86,0,0,6.93,6.87,50.13000000000001,0,34.97,3.81,0.48,10.42,7.97,31.61,0,1.09,0,0,0,0,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
11091-1,11091-1-01,0,0,3,7,1,0,0,0,0,1,1,1,0,1,1,0,1,61,0,1,0,0,0,0,0,61,45-65,2,técnica,0,0,0,0,0,1,norte,2,Tarapacá,0,0,NA,Inactiva(o),NA,NA,NA,2,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,2.37,0,0,0,0,0.54,0,5.97,35.2,25.74,57.82999999999999,0,2.17,0,0,24.57,12.53,0.54,0,0,0,0,0,0,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
11093-1,11093-1-01,0,0,2,6,1,0,0,0,0,1,2,2,0,2,2,0,2,63.5,0,1,1,0,0,0,1,61,45-65,2,técnica,0,0,0,0,0,4,centro,11,Biobío,0.14285714285714285,0,NA,Inactiva(o),NA,NA,NA,4,4,NA,NA,NA,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25,350,175,87.5,50,75,525,112.5,1500000,0,0.01,0,5.27,9.41,13.05,4.14,0,0.09,0,0.82,0,0,16.44,7.3,60.59000000000001,0,12.45,3.07,1.72,18.92,2.48,7.24,2.5,2.5,0,0,0,0.01,7.76,0.29,168,NA,12.02415713052546,11.1,1.18,12.06,7.09,8.47,7.1,6.83,4.13,0.92,4.1,62.97584286947454
11093-1,11093-1-02,0,0,2,6,2,0,0,0,0,1,2,2,0,2,2,0,2,63.5,0,1,1,0,0,0,0,66,66+,2,universitaria,0,0,0,0,0,4,centro,11,Biobío,0.8571428571428571,0,NA,Inactiva(o),NA,NA,NA,5,4,NA,NA,NA,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,150,0,0,0,300,450,525,237.5,600000,0,0,0,0,3.86,1.22,0.03,0,0.33,0,0.18,0,0.07,15.98,23.35,70.07,0,4.99,0.01,3.43,24.36,5.25,10.3,4.57,0,0,0,0,0,0,0,168.00000000000003,NA,72.14494278315276,66.59,7.07,72.34,42.52,50.83,42.61,40.96,24.79,5.54,24.58,377.85505721684723
11095-1,11095-1-01,0,0,4,7,1,0,0,0,0,1,2,2,0,0,1,0,2,64,0,0,0,0,1,1,1,52,45-65,2,primaria,0,0,0,0,0,3,sur,13,Los Ríos,0.40711462450592883,0,NA,Inactiva(o),NA,NA,NA,4,85,NA,NA,NA,2,85,2,2,85,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,51.5,253,126.5,63.25,103,154.5,379.5,114.75,1218000,0,0.1,0,1.13,15.09,6.95,2,0,0.05,3.37,3.24,0,0.11,6.77,11.96,67.09,0,2.79,1.55,0.17,18.77,20.1,0.29,0,6.47,0,0,0,0.11,1.12,0.2,168,NA,45.46002647637278,27.38,2.8,26.6,8.63,13.01,11.38,10.36,5.61,0.66,2.62,109.03997352362722
11095-1,11095-1-02,0,0,4,7,5,0,0,0,0,1,2,2,0,0,1,0,2,64,0,0,0,0,1,1,1,76,66+,2,ninguna,0,0,0,0,0,3,sur,13,Los Ríos,0.5928853754940712,0,NA,Inactiva(o),NA,NA,NA,4,85,NA,NA,NA,2,85,1,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,75,0,0,0,150,225,379.5,138.25,300000,0,0,0,0,26.64,6.15,11.17,0,0,0,2.94,0,0,1.04,22.69,58.41,0,0,0,11.43,23.38,4.15,0,0,0,0,0,0,0,0,0,168,NA,66.20392205297007,39.87,4.07,38.73,12.57,18.95,16.57,15.09,8.17,0.96,3.82,158.79607794702991
11096-1,11096-1-01,1,0,5,6,1,0,0,0,0,1,1,1,1,0,0,0,1,57,0,0,0,0,0,0,0,57,45-65,1,primaria,0,1,48,8,6,1,centro,10,Ñuble,1,0,4,Ocupada(o),1,3,3,4,NA,NA,2,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,130,0,0,130,130,0,130,130,130,0,48,0,0,0,3.47,2.15,3.77,0.19,2.22,0.69,4.6,0,0,15.71,12.68,46.07,0,0.81,0,0,12.8,5.59,5.59,3.28,0.38,0,0,0,0,0,0,168,2.7083333333333335,23.069273071389834,34.18,3.4,26.38,6.15,8.58,9.98,9.87,4.74,0.39,3.27,106.93072692861017
11097-1,11097-1-03,0,0,2,6,4,0,0,0,1,4,3,4,0,3,0,0,4,36.25,0,0,0,0,0,0,1,25,25-44,2,universitaria,0,0,0,0,0,2,norte,5,Coquimbo,0,0,NA,Desocupada(o),NA,NA,NA,5,5,5,NA,NA,3,85,2,3,1,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,250,62.5,0,0,0.11,0,0,1.84,5.46,1.95,0,0.14,0.4,0.64,0,0.67,17.09,5.76,52.42,0,49.8,0.06,0,15.81,1.57,13.8,0,0.48,0,0.11,0.11,0,0,0,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
