id_household,id_person,is_worker,is_family,weekday,weekend_day,relationship_to_head,n_children_0_4,n_children_5_14,n_children_0_14,n_underage,n_adults_15_65,n_adults,n_time_reporters,n_workers,n_professionals,n_elderly,has_elderly,household_size,mean_age,has_children,in_couple,lives_with_partner,domestic_service,help_from_relatives,external_support,female,age,age_bracket,ses,education_level,in_education,employed,contracted_hours,usual_hours,work_days_per_week,quintile,macrozone,region,region_name,income_share,teleworks,work_schedule,employment_status,formality,cise,occupation_group,swb1,swb2,swb3,swb4,swb5,swb6,swb7,swb8,swb9,swb10,swb11,swb12,swb13,swb14,swb15,swb16,swb17,swb18,swb19,inc_main_job,inc_labor,inc_pension,inc_group,inc_household_total,inc_household_pc,inc_group_personal,inc_personal,household_income,inc_person_week,I,t_paid_work,t_care_essential,t_care_education_related,t_care_other,t_domestic_meals,t_domestic_cleaning,t_domestic_laundry,t_domestic_maintenance,t_domestic_admin,t_domestic_shopping,t_domestic_pets,t_voluntary_community,t_voluntary_households,t_personal_care,t_meals,t_sleep,t_education,t_leisure_social,t_leisure_hobbies,t_media_reading,t_media_video,t_media_audio,t_media_computer,t_commute_to,t_commute_ed,t_commute_cpaf_cp,t_commute_tdnr_admnhog,t_commute_tdnr_comphog,t_commute_tcnr_re,t_commute_tcnr_ce,t_commute_tcnr_oac,t_care_0_4,t_care_5_14,t_care_children_teens,t_care_15_65,t_care_66_plus,t_care_disability,tact_tto_ds,tact_tto_fds,tact_ted_ds,tact_ted_fds,tact_tcpaf_cp_ds,tact_tcpaf_cp_fds,tact_ttdnr_admnhog_ds,tact_ttdnr_admnhog_fds,tact_ttdnr_comphog_ds,tact_ttdnr_comphog_fds,tact_ttcnr_re_ds,tact_ttcnr_re_fds,tact_ttcnr_oac_health_ds,tact_ttcnr_oac_health_fds,tact_ttcnr_oac_work_ds,tact_ttcnr_oac_work_fds,tact_factor_sab,tact_factor_dom,tact_factor_ds,t_total,wage,savings,food,clothing,utilities,household_goods,health,transportation,communications,recreation,education_exp,restaurants,total_expenses
08722-1,08722-1-02,0,0,4,6,2,0,0,0,0,1,3,3,1,2,2,0,3,62.333333333333336,1,1,1,0,0,0,1,71,66+,3,universitaria,0,0,0,0,0,5,norte,2,Tarapacá,0.07092198581560284,0,NA,Inactiva(o),NA,NA,NA,5,5,85,NA,NA,3,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,50,0,0,0,29.078014184397166,79.08,1115,244.69267139479905,200000,0,0,0,0,2.1,8.48,2.1,0,0,0,2.1,0,0,17.78,16.77,51.03999999999999,0,0,0.57,8.19,33.53,0,25.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3779904306220094,1.4922279792746116,1.2687224669603525,168.00000000000003,NA,21.665071447573244,10.17,0.86,8.79,6.67,6.41,6.45,5.47,4.39,1.36,6.83,57.41492855242676
08722-1,08722-1-03,1,0,4,6,3,0,0,0,0,1,3,3,1,2,2,1,3,62.333333333333336,0,0,0,0,0,0,0,47,45-65,3,universitaria,0,1,40,8,5,5,norte,2,Tarapacá,0.7092198581560283,0,2,Ocupada(o),1,3,1,4,5,85,2,NA,2,85,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,500,500,0,0,0,0,290.78014184397165,790.78,1115,331.9267139479905,0,40,0.11,0,0.01,4.45,1.57,0.06,0.29,0.02,2.82,5.5,0,0,6.17,13.27,55.39000000000001,0,9.15,0.69,2.96,7.2,0.73,11.31,5.78,0,0,0,0.52,0,0,0,0,0,0,0,0.11,0.11,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.425742574257426,1.1163508969956981,1.3787878787878787,168,12.5,216.6507144757324,101.7,8.63,87.94,66.72,64.06,64.55,54.73,43.88,13.58,68.34,574.1292855242675
08723-1,08723-1-01,1,1,4,6,1,0,0,0,1,3,2,3,2,1,0,0,3,40.333333333333336,1,1,1,0,0,0,1,51,45-65,3,universitaria,0,1,40,8,5,5,sur,16,Magallanes y la Antártica Chilena,0.5714285714285714,0,2,Ocupada(o),1,3,1,4,2,3,1,NA,1,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,500,500,0,0,875,291.6666666666667,0,500,875,291.6666666666667,0,40,0,0,0.48,9.12,3.88,5.9,0,0.93,1.2,4.43,0,0,12.66,6.67,40.44000000000001,0,12.8,0,5.93,8.61,0,13.15,1.4,0,0,0,0.4,0,0,0,0,0,0,0.48,0,0,45,NA,NA,NA,NA,NA,0.6984126984126983,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.070631970260223,0.9661159975964901,0.838095238095238,168.00000000000003,12.5,94.15297092226072,54.94,11.07,70.26,31.53,36.77,76.12,36.33,42.28,22.31,24.23,405.8470290777393
08723-1,08723-1-02,1,1,4,6,2,0,0,0,1,3,2,3,2,1,0,0,3,40.333333333333336,1,1,1,0,0,0,0,53,45-65,3,secundaria,0,1,48,8,6,5,sur,16,Magallanes y la Antártica Chilena,0.42857142857142855,0,4,Ocupada(o),1,3,1,3,3,3,2,NA,85,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,375,375,0,0,0,0,0,375,875,291.6666666666667,0,48,0,0,0,3,0.79,0,1.03,0.17,0.26,2.86,0,0.68,19.29,12.16,52.06,0,6.76,0.51,0.04,9.75,0.01,9.08,1.31,0,0,0,0.24,0,0,0,0,0,0,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9703504043126686,1.1705097640845512,1.108433734939759,168,7.8125,70.61472819169553,41.21,8.3,52.7,23.65,27.58,57.09,27.25,31.71,16.73,18.17,304.3852718083045
08728-1,08728-1-02,0,0,4,7,2,0,2,2,2,2,2,2,2,2,0,0,4,25.25,1,1,1,0,0,0,1,41,25-44,3,universitaria,0,1,0,0,0,5,norte,2,Tarapacá,0,0,NA,Inactiva(o),NA,NA,NA,5,5,5,NA,NA,2,3,2,2,2,2,NA,NA,NA,NA,NA,5,NA,1,0,0,0,0,0,0,0,0,1087.5,218.75,0,0,11.2,2.01,0,6.52,2.42,3.68,0,1.34,2.34,2.01,0,0,3.93,12.2,41.98000000000002,0.5,56.16,0.33,1.84,7.02,0,6.02,0,0,0,0,6.5,0,0,0,0,13.2,13.2,0,0,0,NA,NA,NA,NA,NA,NA,0.6666666666666666,NA,2,NA,NA,NA,NA,NA,NA,NA,0.9863013698630138,1.0285714285714287,0.8,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
08729-1,08729-1-02,1,0,2,6,3,0,0,0,0,2,2,1,2,2,0,0,2,39.5,0,0,0,0,0,0,1,28,25-44,2,universitaria,0,1,1,1,1,1,norte,5,Coquimbo,0.2,0,1,Ocupada(o),2,2,1,3,5,NA,3,NA,2,85,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,0,0,0,0,5,25,12.5,0,1,1.14,0.63,0,11.54,6.06,2.01,0,0.01,0.35,3.37,2.03,1.04,5.84,15.3,60.94,0,26.36,1.58,0.02,14.32,0,14.13,0,0,0,0,0.33,0,0,0,0.11,1.66,1.77,0.01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.111969111969112,1.017869332296803,5.779591836734694,168.00000000000003,5,-23.287025064685306,6.61,0.6,7.62,1.58,1.12,2.87,3.46,1.4,0.43,2.59,28.287025064685306
08733-1,08733-1-01,0,0,2,6,1,0,0,0,0,2,2,2,1,0,0,0,2,38.5,1,0,0,0,0,0,1,54,45-65,2,secundaria,0,0,0,0,0,1,centro,9,Maule,0,0,NA,Inactiva(o),NA,NA,NA,5,5,NA,NA,NA,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,126.5,63.25,0,0,126.5,63.25,0,0,0,0,0.15,10.85,4.46,3.44,0,0,1.6,8.76,0,0.59,16.74,8.94,67.28999999999999,0,2.96,0,0,17.55,15.71,8.29,0,0,0,0,0.67,0,0,0,0,0,0,0.15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0786516853932584,1.2249481098370139,1.2743362831858407,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
08735-1,08735-1-01,1,0,1,7,1,0,0,0,0,2,2,2,1,1,0,0,2,34,1,0,0,0,0,0,1,50,45-65,3,técnica,0,1,15,3,5,1,centro,6,Valparaíso,1,1,1,Ocupada(o),2,2,3,5,5,NA,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,50,50,0,50,100,50,50,100,100,50,200000,15,0,0,0,8.62,5.99,2.28,0,0,1.21,65.6,0,0,2.6,7.17,39.34,0,7.66,0,10.8,0.36,0.08,0.39,0.09,0,0,0,0.81,0,0,0,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,1.1073825503355703,NA,NA,NA,NA,NA,NA,NA,1.2892386195783536,0.8888888888888888,0.8859060402684563,168,3.3333333333333335,-58.45139422902396,41.75,5.4,40.44,8.37,8.88,17.76,16.89,8.28,3.21,7.47,158.45139422902395
08736-1,08736-1-01,1,1,4,7,1,1,1,2,2,2,2,1,1,2,0,0,4,21.5,1,1,1,0,0,0,1,34,25-44,3,técnica,0,1,40,8,5,2,centro,9,Maule,0.35135135135135137,0,2,Ocupada(o),1,4,3,3,4,4,1,NA,1,1,1,1,3,2,NA,NA,NA,NA,NA,4,5,5,81.25,81.25,0,30,261.25,65.3125,10.540540540540542,91.79,261.25,60.44763513513513,120000,40,24.37,3.51,0.5,8.43,10.02,2.42,0,0,1.42,1.01,0,0,2.98,1.65,27.9,0,15.26,0,0,11.45,0.43,6.64,6.29,0,0,0,0.58,3.14,0,0,28.05,9.97,31.89,0,0,0,40,NA,NA,NA,NA,NA,NA,NA,0.2619760479041916,NA,NA,NA,NA,NA,NA,NA,0.9925613044461232,0.9829351535836177,0.62874251497006,167.99999999999997,2.03125,-19.864992808928776,22.01,3.41,26.55,9.19,6.37,14.81,13.2,6.27,3.51,6.34,111.65499280892878
08737-1,08737-1-01,0,0,4,7,1,0,0,0,0,2,2,1,1,0,0,0,2,45.5,0,1,1,0,0,0,0,46,45-65,1,secundaria,0,0,0,0,0,1,norte,1,Arica y Parinacota,0,0,NA,Inactiva(o),NA,NA,NA,3,3,NA,NA,NA,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,50,25,0,0,50,25,0,0,0,0,0,0,2.55,1.48,0,0,0,6.62,0,19.86,8.53,16.32,66.66,0,9.77,0,0,33,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1905254020090115,1.1338582677165354,1.6551724137931034,168.00000000000003,NA,-0,0,0,0,0,0,0,0,0,0,0,0
08738-1,08738-1-02,0,0,3,7,2,2,1,3,3,2,2,2,1,1,0,0,5,15,1,1,1,0,0,0,1,34,25-44,2,secundaria,1,0,0,0,0,1,centro,8,Libertador General Bernardo O´Higgins,0,0,NA,Inactiva(o),NA,NA,NA,3,5,4,NA,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,2,NA,5,0,0,0,0,0,0,0,0,100,20,0,0,28.76,0,0.01,7.01,10.5,0.51,0,1.65,0.85,0.25,0,0,5.25,6.28,46.13999999999999,5.96,29.72,7.35,0.27,10.34,0,5.85,0.08,0,0,0,1.22,0,0,0,28.77,13.56,28.77,0,0,0,NA,NA,4.600638977635783,NA,NA,NA,NA,NA,0.38338658146964855,NA,NA,NA,NA,NA,NA,NA,1.1078805621662944,1.161290322580645,0.9201277955271566,168.00000000000003,NA,-0,0,0,0,0,0,0,0,0,0,0,0
08741-1,08741-1-01,1,1,2,7,1,0,0,0,0,4,4,2,2,3,0,0,4,38.5,1,1,1,1,0,1,1,53,45-65,2,técnica,0,1,30,5,6,3,centro,6,Valparaíso,0.3333333333333333,1,1,Ocupada(o),1,2,1,4,5,5,2,NA,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,100,100,0,0,300,75,0,100,300,75,0,30,0,0,0,13.06,7.8,1.11,0,0.05,0.59,4.84,0,3.52,7.25,13.57,45.98999999999999,0,20.29,0,3.16,6.64,6.19,3.16,0.18,0,0,0.51,0.09,0,0,0,0,0,0,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8879671197293649,1.3457943925233646,0.9191489361702128,167.99999999999997,3.3333333333333335,-18.23301178245065,27.25,2.55,20.84,8.13,7.55,16.32,14.58,7.26,4.7,9.06,118.23301178245065
08741-1,08741-1-02,1,1,2,7,2,0,0,0,0,4,4,2,2,3,0,0,4,38.5,1,1,1,1,0,1,0,54,45-65,2,técnica,0,1,40,8,5,3,centro,6,Valparaíso,0.6666666666666666,0,2,Ocupada(o),1,3,1,5,5,5,1,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,200,200,0,0,0,0,0,200,300,75,0,40,0,0,0,3.8,0.2,0,0,0.95,0,7.1,0,0,4.95,11.63,35.71,0,12.9,0,0,18.29,29.68,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,35,NA,NA,NA,NA,NA,0.7902973395931141,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993103448275862,1.44,0.948356807511737,167.99999999999997,5,-36.4660235649013,54.51,5.09,41.68,16.27,15.09,32.63,29.16,14.52,9.39,18.12,236.4660235649013
