"","folio","id_hogar","g.alimentos","g.vestimenta","g.cuentas","g.hogar","g.salud","g.transporte","g.comunicaciones","g.recreacion","g.educacion","g.restaurantes","total_expenses","savings","n_personas","macrozona","quintil","n_menores_0_5","n_menores_6_11","n_menores_12_17","n_trabajadores","edad_promedio","n_profesionales","income_person_week","ingreso_hogar","n_personas_cut","n_menores_0_5_cut","n_menores_6_11_cut","n_menores_12_17_cut","n_trabajadores_cut","n_profesionales_cut"
"171","1015-1",171,242.185206,20.7074359433962,22.9201392893082,29.8795328168853,11.1847951257862,13.7554623509637,44.5914507039556,30.5663637735849,0.393235,20.7638954265611,436.947516430441,-307.147516430441,3,"norte",1,0,0,1,0,26,0,43.2666666666667,129.8,3,0,0,1,0,0
"172","10150-1",172,268.51726,0,225.885714285714,4.96544,0,0,10.7042857142857,39.6983898901099,24.58235,53.4160714285714,627.769511318681,-192.939511318681,3,"metropolitana",4,0,0,1,2,39.6666666666667,0,144.943333333333,434.83,3,0,0,1,2,0
"173","10151-1",173,100.49175,18.0892597751086,7.375,1.89642857142857,2.84464285714286,41.8802747252747,21.0925,14.770945,0,24.4007142857143,232.841515214669,161.552539785331,4,"metropolitana",3,1,0,0,1,30,0,98.59851375,394.394055,4,0,0,0,1,0
"174","10152-1",174,146.674210714286,11.7666098901099,46.3065714285714,46.9988489010989,47.246114010989,69.1985714285714,19.7532,30.2709825,0,5.81571428571429,424.030823159341,320.254176840659,8,"metropolitana",5,1,1,0,1,40.125,0,93.035625,744.285,7,1,1,0,1,0
"175","10153-1",175,190.509609285714,8.64443038461538,39.1934892857143,22.3837992857143,73.027168956044,41.5163022888713,46.0182674861878,16.5221155248619,22.125,65.0044171941594,524.944599691883,-77.9762346918827,5,"metropolitana",4,0,0,0,2,42.8,0,89.393673,446.968365,5,0,0,0,2,0
"176","10154-1",176,125.056821428571,5.3489010989011,13.275,0,2.43131868131868,12.0107142857143,10.325,5.18357142857143,0,16.2144642857143,189.845791208791,-113.735791208791,4,"metropolitana",1,1,1,0,1,19.75,0,19.0275,76.11,4,1,1,0,1,0
"177","10154-2",177,78.6385714285714,0,44.329355,0,0,12.0107142857143,0,5.95129982363316,0,7.36446428571429,148.294404823633,240.122950176367,4,"metropolitana",3,0,1,0,2,50.25,0,97.10433875,388.417355,4,1,1,0,2,0
"178","10155-1",178,129.868482142857,27.746532967033,104.753900274725,2.00759494505495,130.480769230769,70.1686022099448,58.0463790883978,15.5282498396648,0,23.0626911444357,561.663201842882,-246.816191842883,5,"metropolitana",3,0,0,0,3,37.4,0,62.969402,314.84701,5,0,0,0,3,0
"179","10156-1",179,252.364071428571,7.29395604395604,37.17,2.20027624309392,21.7928818681319,10.0723756906077,30.09,1.20419,0,12.7783662194159,374.966117493777,-215.518617493777,3,"metropolitana",1,0,0,1,1,44,0,53.1491666666667,159.4475,3,0,0,1,1,0
"180","10157-1",180,17.8137857142857,0,11.387,5.9,4.37637362637363,0,2.94705,0,0,5.31,47.7342093406593,39.4382906593407,1,"metropolitana",1,0,0,0,0,87,0,87.1725,87.1725,1,0,0,0,0,0
"181","10158-1",181,55.3757142857143,0,11.505,3.40384615384615,0,0,0,43.0866464285714,0,1.13785714285714,114.509064010989,15.295360989011,2,"metropolitana",1,0,0,0,1,62,0,64.9022125,129.804425,2,0,0,0,1,0
"182","10159-1",182,50.3779928571428,0.901798791208791,11.3575,1.6753182715075,1.573235,3.91160220994475,10.6005494505494,0.737205,0,0,81.1352015803534,25.0647984196467,2,"metropolitana",1,0,0,0,1,44.5,0,53.1,106.2,2,0,0,0,1,0
"183","1016-1",183,1.829,7.33239198113208,17.00439,23.6,5.60778301886793,11.8,26.13405,36.1644563207547,0,0,129.472071320755,379.031818679245,1,"norte",4,0,0,0,0,66,0,508.50389,508.50389,1,0,0,0,0,0
"184","10160-1",184,63.7073571428571,0,27.0131662087912,21.108681925809,0.758571428571429,17.5735714285714,5.605,1.66042857142857,0,11.3785714285714,148.8053481346,-66.2053481346002,8,"metropolitana",1,1,2,0,1,27.625,0,10.325,82.6,7,2,3,0,1,0
"185","10161-1",185,78.2276785714286,2.211615,82.6,0,0,14.75,11.505,3.12510357142857,0,1.26428571428571,193.683682857143,-88.9586828571428,4,"metropolitana",1,0,2,1,1,19.25,0,26.18125,104.725,4,2,3,1,1,0
"186","10162-1",186,213.918407142857,4.42327214285714,61.7732107142857,27.4440574725275,305.250197509157,135.136251758242,43.788325,146.779267441954,55.2948,142.911654285714,1136.7194434676,-181.390853467595,3,"metropolitana",5,0,0,0,2,47.3333333333333,0,318.442863333333,955.32859,3,0,0,0,2,0
"187","10163-1",187,121.995353571429,9.2146978021978,147.234205,15.6559903846154,30.0460060989011,16.8782142857143,17.099675,38.134355,0,0,396.258497142857,-30.2437371428572,2,"metropolitana",3,0,0,0,2,72,0,183.00738,366.01476,2,0,0,0,2,0
