id_hog,id_persona,es_trabajador,es_familia,dia_semana,dia_fin_semana,parentesco,n_menores_0_4,n_menores_5_14,n_nna,n_menores_18,n_personas_15_65,n_mayores,n_tiempo,n_trabajadores,n_profesionales,n_tercera_edad,hay_tercera_edad,n_personas,edad_promedio,tiene_hijos,en_pareja,vive_pareja,servicio_domestico,ayuda_cercanos,fuentes_externas,sexo,edad_anios,tramo_edad,NSE,nivel_escolaridad,estudia,trabaja,horas_trabajo_contratadas,horas_trabajo_habituales,dias_trabajo_semana,quintil,macrozona,region_ord,glosa_region,prop_ing_hogar,teletrabaja,jornada_laboral,cae,ocup_form,cise,ciuo_agrupada,bs1,bs2,bs3,bs4,bs5,bs6,bs7,bs8,bs9,bs10,bs11,bs12,bs13,bs14,bs15,bs16,bs17,bs18,bs19,ing_ocuppal,ing_trab,ing_jub_aps,ing_g,ing_t_hogar,ing_t_pc,ing_gpp,ing_personal,ingreso_hogar,income_person_week,I,t_paid_work,t_domestic_work,t_care_work,t_unpaid_voluntary,t_education,t_leisure,t_personal_care,t_meals,t_sleep,t_commute1,t_commute2,Tw,Tf_social,Tf_hobbies,Tf_read,Tf_listen,Tf_watch,Tf_computer,Tc_meals,Tc_sleep,Tc_other,t_tcnr_0_4,t_tcnr_5_14,t_tcnr_nna,t_tcnr_15_65,t_tcnr_66,t_tcnr_psdf,t_total,temp,w,savings,total_expenses,Ef_food,Ef_recreation,Ef_restaurants,Ef_communications,Ef_clothing,Ec_cuentas,Ec_hogar,Ec_salud,Ec_transporte,Ec_educacion
00018-1,00018-1-02,0,0,2,7,3,0,0,0,1,4,3,4,2,0,1,0,4,40.25,0,0,0,0,0,0,0,15,12-24,1,primaria,1,0,0,0,0,2,centro,11,Biobío,0.018475750577367205,0,NA,Inactiva(o),NA,NA,NA,4,4,85,NA,2,2,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0.14780600461893764,4.15,224.5,54.16195150115473,16000,0,0.81,0,0,0,76.42,12.01,18.25,60.51,0,0,0,1.44,38.88,0.28,0.68,13.2,21.94,18.25,60.51,12.81,0,0,0,0,0,0,168.00000000000003,168,NA,-0.23301884927028021,4.383018849270281,1.65,0.2,0.16,0.42,0.13,0.72,0.19,0.3,0.55,0.06
00018-1,00018-1-03,0,0,2,7,2,0,0,0,1,4,3,4,2,0,1,0,4,40.25,1,1,1,0,0,0,1,54,45-65,1,primaria,0,0,0,0,0,2,centro,11,Biobío,0,0,NA,Inactiva(o),NA,NA,NA,2,2,85,NA,NA,1,85,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,224.5,54.125,0,0,34.92,0.12,0.03,0,56.67,4.47,10.36,61.22,0,0.21,0,13.53,0,0,1.12,28.17,13.85,10.36,61.22,39.76,0,0,0,0,0.12,0.12,168,168,NA,-0,0,0,0,0,0,0,0,0,0,0,0
00020-1,00020-1-02,1,0,4,7,3,0,1,1,1,2,3,2,2,2,1,0,4,40.25,0,1,1,1,0,1,1,41,25-44,2,universitaria,0,1,40,8,5,4,sur,14,Los Lagos,0.5442176870748299,0,2,Ocupada(o),1,3,1,4,4,4,2,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,3,2,1,200,200,0,0,0,0,87.0748299319728,287.07,527.5,113.6437074829932,0,40,12.61,5.48,0,0,34.29,11.56,9.26,48.38,1.55,4.87,40,22.83,0.34,0,0.07,1.48,9.57,9.26,48.38,36.07,0,8.98,8.98,0,0,0,168.00000000000003,168,5,19.65414098573998,267.41585901426004,40.99,18.15,15.03,32.14,6.31,63.43,24.14,19.88,39.31,8.04
00022-1,00022-1-01,1,1,4,6,1,0,2,2,2,2,3,4,2,1,1,0,5,36.2,1,1,1,0,0,0,1,44,25-44,2,técnica,0,1,40,8,5,4,sur,16,Magallanes y la Antártica Chilena,0.375,0,2,Ocupada(o),1,4,3,5,5,5,2,NA,1,2,2,2,2,2,NA,NA,NA,NA,NA,1,1,1,150,150,0,250,400,80,93.75,243.75,650,98.75,1000000,40,17.46,0.87,9.12,0,28.03,5.01,10.61,52.94,3.85,0.11,40,10.09,0.22,0.36,0,3.51,13.87,10.61,52.94,36.42,0,0.87,0.87,0,0,0,168,168,3.75,44.17502769454349,199.57497230545653,45,12.43,7.06,20.43,6.55,42.02,15.02,15.71,30.18,5.18
00022-1,00022-1-03,0,0,4,6,3,0,2,2,2,2,3,4,2,1,1,0,5,36.2,0,0,0,0,0,0,1,13,12-24,2,primaria,1,0,0,0,0,4,sur,16,Magallanes y la Antártica Chilena,0,0,NA,Menor de 15 años,NA,NA,NA,4,4,4,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,650,80,0,0,7.15,0.19,0,40.42,46.82,6.93,5.92,57.05,3.51,0.01,0,11.72,0.48,0.31,0,13.07,21.24,5.92,57.05,58.21,0,0.19,0.19,0,0,0,168,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
00023-1,00023-1-01,1,0,5,7,1,0,0,0,0,2,2,2,2,2,0,0,2,27.5,0,1,1,1,0,1,0,28,25-44,3,universitaria,0,1,40,8,5,5,centro,11,Biobío,0.8860759493670886,0,2,Ocupada(o),1,3,1,4,4,NA,1,NA,2,85,2,2,1,85,NA,NA,NA,NA,NA,NA,NA,NA,1750,1750,0,0,1975,987.5,0,1750,1975,987.5,0,40,12.95,0,1.81,0,48.45,7.34,3.89,50.56000000000001,2.84,0.16,40,4.63,5.66,0.52,0,16.02,21.62,3.89,50.56000000000001,25.09,0,0,0,0,0,0,167.99999999999997,168,43.75,669.4142081700529,1080.585791829947,84.19,134,140.23,92.92,27.41,156.63,88.79,67.57,176.36,112.49
00023-1,00023-1-02,1,0,5,7,2,0,0,0,0,2,2,2,2,2,0,0,2,27.5,0,1,1,1,0,1,1,27,25-44,3,universitaria,0,1,44,8,5,5,centro,11,Biobío,0.11392405063291139,0,3,Ocupada(o),1,2,1,5,4,NA,2,NA,1,85,2,2,2,85,NA,NA,NA,NA,NA,NA,NA,NA,225,225,0,0,0,0,0,225,1975,987.5,0,44,9.9,0,4.53,0,47.71,4.43,6.4,48.55999999999999,2.47,0,44,9.2,7.26,2.38,0,15.08,13.79,6.4,48.55999999999999,21.33,0,0,0,0,0,0,167.99999999999997,168,5.113636363636363,86.06754105043538,138.93245894956462,10.82,17.23,18.03,11.95,3.52,20.14,11.42,8.69,22.67,14.46
00024-1,00024-1-02,1,1,4,7,2,0,0,0,0,4,4,4,3,4,0,0,4,41.25,1,1,1,1,0,1,1,56,45-65,2,universitaria,0,1,40,8,5,5,centro,9,Maule,0.19047619047619047,0,2,Ocupada(o),1,4,1,4,3,4,1,NA,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,400,400,0,0,0,0,20,420,2205,530,0,40,7.72,0,0.03,0.1,28.01,16.36,10.88,57.68,7.22,0,40,4.53,2.54,5.44,1.4,8.46,5.64,10.88,57.68,31.42,0,0,0,0,0,0,168,168,10,169.96627206905896,250.03372793094104,37.87,23.45,27.81,24.56,5.13,32.24,21.39,20.16,42.68,14.74
00024-1,00024-1-03,1,0,4,7,3,0,0,0,0,4,4,4,3,4,0,0,4,41.25,0,0,0,1,0,1,1,28,25-44,2,técnica,0,1,20,4,5,5,centro,9,Maule,0.09523809523809523,1,1,Ocupada(o),1,3,2,5,4,4,2,NA,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,200,200,0,0,0,0,10,210,2205,527.5,0,20,33.66,0.01,3.18,0,36.47,8.16,9.44,57.02000000000001,0.01,0.05,20,11.29,9.35,1.34,2.29,7.67,4.53,9.44,57.02000000000001,45.09,0,0,0,0,0.01,0.01,168,168,10,84.98313603452948,125.01686396547052,18.94,11.73,13.91,12.28,2.56,16.12,10.7,10.08,21.34,7.37
00024-1,00024-1-04,0,0,4,7,3,0,0,0,0,4,4,4,3,4,0,0,4,41.25,0,0,0,1,0,1,1,23,12-24,2,técnica,1,0,0,0,0,5,centro,9,Maule,0,0,NA,Inactiva(o),NA,NA,NA,4,4,4,NA,1,2,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2205,525,0,0,13.34,0,0.16,10.47,59.45,9.6,17.27,57.61,0,0.1,0,15.24,0,5.12,6.25,10.19,22.65,17.27,57.61,33.68,0,0,0,0,0,0,168.00000000000003,168,NA,0,0,0,0,0,0,0,0,0,0,0,0
